mof_id,gcmc_CO2,ml_CO2,gcmc_WC,ml_WC,gcmc_sel,ml_sel,gcmc_HoA,ml_HoA
DB1-Zn2O8N2-ADC_A-irmof14_A_No822,37.789,38.051,32.674,32.996,151.5,157.0,7.229,7.258
DB1-Zn2O8-irmof16_A-irmof20_A_No529,39.205,39.754,35.815,35.962,142.3,140.0,8.429,7.89
DB12-EPONAA_clean,33.821,34.036,31.224,31.349,167.4,165.6,6.27,6.482
DB12-EPONEE_clean,34.371,34.086,31.762,31.63,170.7,169.0,7.433,6.705
DB1-Zn2O8N2-AZO_A-irmof10_A_No341,36.062,36.305,30.653,30.764,119.7,135.0,5.705,6.022
DB1-Cu2O8N2-AZO_A-irmof14_A_No128,32.87,33.141,29.018,28.754,194.9,194.3,6.886,6.84
DB1-Cu2O8N2-AZO_A-irmof14_A_No343,33.697,33.78,28.916,28.648,178.6,171.9,5.905,6.53
DB1-Zn2O8N2-ADC_A-irmof10_A_No259,35.298,35.381,29.28,29.329,130.1,135.4,5.28,5.922
DB1-Zn2O8N2-AZO_A-irmof14_A_No509,36.073,35.807,31.115,30.244,174.9,165.8,6.999,7.237
DB1-Zn2O8N2-ADC_A-irmof14_A_No193,38.212,38.181,32.12,32.307,159.1,146.4,8.215,7.698
DB1-Cu2O8N2-irmof10_A_No8,33.725,33.674,26.955,27.001,191.6,192.5,6.831,6.899
DB1-Zn2O8N2-AZO_A-irmof14_A_No131,35.508,35.893,30.038,30.327,158.0,162.5,7.514,7.359
DB1-Zn2O8-ADC_A-fum_A_No295,35.536,35.601,28.0,27.636,153.6,140.5,5.838,6.046
DB12-XIGWUF_clean,31.589,31.601,30.286,30.123,170.5,167.2,6.636,6.735
DB1-Zn2O8-irmof10_A-irmof8_A_No367,31.973,32.267,21.676,22.281,220.2,217.7,6.414,6.659
DB1-Zn2O8-irmof10_A-irmof20_A_No356,30.17,30.465,19.975,19.675,213.7,223.0,3.989,5.808
DB1-Zn2O8-irmof10_A-irmof8_A_No325,32.063,32.967,21.682,22.847,230.5,236.9,9.477,7.718
DB1-Zn2O8-irmof10_A-irmof20_A_No9,33.661,33.163,23.176,23.573,222.1,206.8,7.016,7.161
DB1-Cu2O8-irmof10_A-irmof8_A_No324,31.013,31.18,23.772,23.783,220.5,219.1,6.567,7.262
DB1-ZIFZn-irmof10_A-irmof14_A_No356,32.281,32.17,27.863,27.643,186.1,172.9,7.408,7.096
DB1-Cu2O8N2-irmof16_A-irmof8_A_No159,33.48,32.397,27.083,26.96,197.9,185.6,7.802,7.438
DB1-Zn2O8N2-AZO_A-irmof14_A_No185,32.961,32.598,28.229,28.188,154.4,158.0,6.949,7.014
DB1-Cu2O8N2-irmof10_A-irmof14_A_No310,31.962,31.743,26.587,26.294,202.9,201.7,8.303,7.75
DB1-Zn2O8-BTC_B-DPAC_A_No26,38.458,38.173,25.568,25.59,146.2,136.2,7.073,6.916
DB1-Zn2O8-AZO_A-irmof8_A_No357,32.834,32.617,24.847,24.852,174.0,186.4,6.859,7.162
DB1-Zn2O8-irmof10_A-irmof20_A_No350,30.818,30.526,20.376,20.536,202.6,223.7,6.589,6.932
DB1-Cu2O8-irmof10_A-irmof8_A_No339,30.461,31.411,23.643,24.13,186.1,201.4,7.132,7.384
DB1-Cu2O8N2-irmof10_A-irmof14_A_No337,31.539,31.218,26.253,25.611,193.7,200.8,7.819,7.733
DB1-Cu2O8N2-irmof10_A-irmof14_A_No334,31.693,31.503,26.343,26.215,163.9,153.0,6.217,6.463
DB1-Cu2O8-irmof10_A-irmof20_A_No351,28.985,28.906,21.833,21.436,196.9,208.4,5.623,6.465
DB1-Zn2O8-AZO_A-fum_A_No181,32.606,32.82,24.901,25.393,123.5,130.8,5.644,5.861
DB1-Cu2O8-irmof10_A-irmof20_A_No372,30.735,30.351,22.033,22.349,204.8,208.7,6.504,7.058
DB1-Cu2O8-ADC_A-BDC_A_No848,29.782,29.831,24.767,24.523,197.9,183.4,6.7,6.702
DB1-Cu2O8-irmof10_A-irmof8_A_No365,31.236,30.913,22.751,22.853,219.0,225.9,7.636,7.895
DB1-Cu2O8-irmof10_A-irmof8_A_No336,29.855,29.606,22.09,21.695,233.4,231.4,7.776,7.495
DB1-Cu2O8-AZO_A-fum_A_No188,32.823,32.596,25.236,24.738,154.6,147.5,5.957,6.252
DB1-Zn2O8-AZO_A-irmof8_A_No15,33.034,32.642,26.687,26.207,176.3,150.6,6.954,6.772
DB1-Cu2O8-AZO_A-fum_A_No201,31.047,30.701,22.372,22.316,200.7,199.8,7.247,6.932
DB1-Zn2O8-AZO_A-irmof8_A_No335,31.628,31.308,24.801,24.543,189.5,185.8,7.506,7.207
DB1-Zn2O8-AZO_A-irmof8_A_No364,29.423,29.663,22.83,23.317,189.7,187.8,6.623,6.633
DB1-Cu2O8N2-AZO_A-irmof8_A_No353,34.9,34.442,28.457,28.211,163.0,149.2,8.355,7.707
DB1-Cu2O8N2-irmof10_A-irmof14_A_No313,31.472,30.982,25.625,25.722,166.4,152.8,6.089,6.443
DB1-Zn2O8N2-AZO_A-BDC_A_No15,32.758,32.409,26.552,25.957,155.3,152.5,6.559,6.807
DB1-Cu2O8N2-AZO_A-irmof14_A_No182,30.769,30.494,26.363,26.117,188.5,181.8,7.283,7.373
DB1-Cu2O8-irmof10_A-irmof8_A_No350,31.57,31.047,23.01,22.806,232.3,229.0,7.461,8.197
