feature_subset,n_features,target,R2,MAE
1_geometric_only,30,CO2_uptake,0.9354673124792084,1.0069574131857117
1_geometric_only,30,WC,0.9532666605166416,0.9664412354092137
1_geometric_only,30,Selectivity,0.9461873515595781,0.15710612996674841
1_geometric_only,30,HoA,0.7863597526477795,0.6002781484844765
2_geom_plus_RAC,50,CO2_uptake,0.9705124553507565,0.7052756305933394
2_geom_plus_RAC,50,WC,0.9775779292078279,0.6885348097150095
2_geom_plus_RAC,50,Selectivity,0.9679804172424921,0.11619097799993598
2_geom_plus_RAC,50,HoA,0.810419113390836,0.5649252731131271
3_geom_plus_RAC_plus_RDF,70,CO2_uptake,0.9813191118824455,0.5655161650229343
3_geom_plus_RAC_plus_RDF,70,WC,0.9849923077519512,0.5676434035549275
3_geom_plus_RAC_plus_RDF,70,Selectivity,0.9748326997215526,0.10079513086490488
3_geom_plus_RAC_plus_RDF,70,HoA,0.8154202255599562,0.5519791929364223
4_full_77dim,77,CO2_uptake,0.9822133547253192,0.5551886431898285
4_full_77dim,77,WC,0.9856849002597611,0.5577467575217311
4_full_77dim,77,Selectivity,0.9753310484332046,0.09922873120123112
4_full_77dim,77,HoA,0.8166114189358685,0.5517880429946777
