mof_id,WC_pred,selectivity_pred,WC_gcmc,selectivity_gcmc,co2_uptake_gcmc,hoa_pred
DB0-m3_o96_o18_f0_fsc.sym.2,19.7217,130.01,19.3577,111.16,21.2235,7.334
DB0-m29_o96_o42_f0_pts.sym.6,19.71,130.03,18.8814,123.69,21.1385,6.793
DB0-m29_o80_o109_f0_pts.sym.64,19.698,130.46,20.5523,133.11,21.5505,6.931
DB0-m29_o89_o109_f0_pts.sym.50,19.6103,130.52,19.5448,130.21,21.191,7.076
DB0-m29_o97_o420_f0_pts.sym.44,19.5903,131.2,19.5911,130.71,20.631,7.137
DB0-m29_o91_o420_f0_pts.sym.54,19.5885,131.44,19.4142,127.69,20.6576,7.051
DB0-m29_o97_o1470_f0_pts.sym.97,19.5801,135.37,20.1127,139.81,21.5651,7.012
DB0-m3_o105_o159_f0_fsc.sym.11,19.5799,135.66,19.7404,127.23,21.046,7.288
DB0-m2_o12_o28_f0_pcu.sym.15,19.5756,149.08,20.2882,167.06,21.5054,7.143
DB0-m3_o12_o149_f0_pcu,19.5728,167.2,19.4368,168.64,21.0941,7.284
