mof_id,pred_wc_mmol_g,pred_selectivity_co2h2
DB1-Cu2O8-irmof10_A-irmof16_A_No649,43.42901,48.992733
DB1-Zn2O8-irmof14_A-irmof16_A_No150,41.74663,54.684692
DB1-Cu2O8N2-DPAC_A-irmof14_A_No23,41.180008,80.59611
DB1-Zn2O8-irmof16_A-irmof20_A_No20,39.395912,112.477715
DB1-Zn2O8-irmof16_A-irmof20_A_No490,36.717743,113.09185
DB1-Zn2O8-irmof16_A-irmof20_A_No529,35.773525,142.63292
DB1-Zn2O8N2-ADC_A-irmof14_A_No822,32.447197,153.38585
DB1-Zn2O8N2-ADC_A-irmof14_A_No193,32.109627,163.86035
DB12-EPONAA_clean,31.463707,174.95915
DB1-Cu2O8N2-AZO_A-irmof14_A_No128,29.05859,197.71745
DB1-Cu2O8N2-irmof10_A-irmof14_A_No310,26.67264,200.7067
DB1-Cu2O8-irmof10_A-irmof8_A_No339,24.620844,200.90858
DB1-Cu2O8-ADC_A-BDC_A_No848,24.5503,203.5088
DB1-Zn2O8-ADC_A-BDC_A_No785,24.441822,209.76048
DB1-Zn2O8-irmof10_A-irmof20_A_No9,22.93355,214.80359
DB1-Cu2O8-irmof10_A-irmof8_A_No350,22.739658,225.64581
DB1-Zn2O8-ADC_A-BDC_A_No743,22.303635,240.97823
DB1-Cu2O8-irmof10_A-irmof20_A_No351,21.087177,254.22554
DB1-Cu2O8-BTC_A-DPAC_A_No29,21.013193,284.15906
DB1-Zn2O8-irmof8_A-pmof1_A_No11,18.200394,291.22403
DB1-Cu2O8-irmof8_A-nott112_No11,17.791725,295.06567
DB1-Cu2O8-AZO_A-irmof7_A_No543,13.207236,305.12567
DB1-Zn2O8-AZO_A-irmof7_A_No499,12.759432,308.0377
DB1-Zn2O8-irmof20_A-mof505_No13,10.509758,365.68997
DB1-Uio66Zr-irmof10_A-irmof14_A_No338,5.8724375,430.924
DB5-hypotheticalMOF_5037472_3_1_1_18_0_0,3.333758,483.81683
DB5-hypotheticalMOF_5061253_2_1_2_18_2_0,2.535271,573.48785
DB5-hypotheticalMOF_5063944_2_1_2_15_2_2,1.9753087,586.05176
DB5-hypotheticalMOF_5045681_3_2_1_3_18_1,1.4817579,592.87775
DB5-hypotheticalMOF_5063973_1_1_2_15_2_7,1.332377,864.10034
DB5-hypotheticalMOF_28615_1_1_2_21_2_5,1.2773434,1046.3716
DB12-ADIQEL_clean,0.89488006,5459.862
