rank,mof_id,score,category
1,DB1-Zn2O8N2-ADC_A-irmof14_A_No822,4,High
2,DB1-Zn2O8-irmof16_A-irmof20_A_No529,4,High
3,DB12-EPONAA_clean,2,Moderate
4,DB12-EPONEE_clean,1,Low
5,DB1-Zn2O8N2-AZO_A-irmof10_A_No341,4,High
6,DB1-Cu2O8N2-AZO_A-irmof14_A_No128,4,High
7,DB1-Cu2O8N2-AZO_A-irmof14_A_No343,4,High
8,DB1-Zn2O8N2-ADC_A-irmof10_A_No259,4,High
9,DB1-Zn2O8N2-AZO_A-irmof14_A_No509,4,High
10,DB1-Zn2O8N2-ADC_A-irmof14_A_No193,4,High
11,DB1-Cu2O8N2-irmof10_A_No8,4,High
12,DB1-Zn2O8N2-AZO_A-irmof14_A_No131,4,High
13,DB1-Zn2O8-ADC_A-fum_A_No295,2,Moderate
14,DB12-XIGWUF_clean,1,Low
15,DB1-Zn2O8-irmof10_A-irmof8_A_No367,4,High
16,DB1-Zn2O8-irmof10_A-irmof20_A_No356,4,High
17,DB1-Zn2O8-irmof10_A-irmof8_A_No325,4,High
18,DB1-Zn2O8-irmof10_A-irmof20_A_No9,4,High
19,DB1-Cu2O8-irmof10_A-irmof8_A_No324,4,High
20,DB1-ZIFZn-irmof10_A-irmof14_A_No356,4,High
21,DB1-Cu2O8N2-irmof16_A-irmof8_A_No159,4,High
22,DB1-Zn2O8N2-AZO_A-irmof14_A_No185,4,High
23,DB1-Cu2O8N2-irmof10_A-irmof14_A_No310,4,High
24,DB1-Zn2O8-BTC_B-DPAC_A_No26,2,Moderate
25,DB1-Zn2O8-AZO_A-irmof8_A_No357,4,High
26,DB1-Zn2O8-irmof10_A-irmof20_A_No350,4,High
27,DB1-Cu2O8-irmof10_A-irmof8_A_No339,4,High
28,DB1-Cu2O8N2-irmof10_A-irmof14_A_No337,4,High
29,DB1-Cu2O8N2-irmof10_A-irmof14_A_No334,4,High
30,DB1-Cu2O8-irmof10_A-irmof20_A_No351,4,High
31,DB1-Zn2O8-AZO_A-fum_A_No181,2,Moderate
32,DB1-Cu2O8-irmof10_A-irmof20_A_No372,4,High
33,DB1-Cu2O8-ADC_A-BDC_A_No848,2,Moderate
34,DB1-Cu2O8-irmof10_A-irmof8_A_No365,4,High
35,DB1-Cu2O8-irmof10_A-irmof8_A_No336,4,High
36,DB1-Cu2O8-AZO_A-fum_A_No188,2,Moderate
37,DB1-Zn2O8-AZO_A-irmof8_A_No15,4,High
38,DB1-Cu2O8-AZO_A-fum_A_No201,2,Moderate
39,DB1-Zn2O8-AZO_A-irmof8_A_No335,4,High
40,DB1-Zn2O8-AZO_A-irmof8_A_No364,4,High
41,DB1-Cu2O8N2-AZO_A-irmof8_A_No353,4,High
42,DB1-Cu2O8N2-irmof10_A-irmof14_A_No313,4,High
43,DB1-Zn2O8N2-AZO_A-BDC_A_No15,2,Moderate
44,DB1-Cu2O8N2-AZO_A-irmof14_A_No182,4,High
45,DB1-Cu2O8-irmof10_A-irmof8_A_No350,4,High
46,DB1-Cu2O8N2-irmof10_A-irmof14_A_No309,4,High
47,DB1-Zn2O8N2-AZO_A-irmof10_A_No168,4,High
48,DB1-Cu2O8-ADC_A-DABCO_A_No21,2,Moderate
49,DB1-Zn2O8N2-AZO_A-BDC_A_No423,2,Moderate
50,DB1-Cu2O8N2-AZO_A-irmof20_A_No327,4,High
