rank,mof_id,WC_gcmc,WC_ml,selectivity_gcmc,selectivity_ml,co2_uptake_gcmc,co2_uptake_ml,hoa_ml,score,Density,POAVAg
1,DB1-Zn2O8N2-ADC_A-irmof14_A_No822,32.674,32.996,151.5,157.0,37.789,38.051,7.258,0.64579,0.4399,1.622
2,DB1-Zn2O8-irmof16_A-irmof20_A_No529,35.815,35.962,142.3,140.0,39.205,39.754,7.89,0.64319,0.4338,1.6656
3,DB12-EPONAA_clean,31.224,31.349,167.4,165.6,33.821,34.036,6.482,0.63105,0.4952,1.5994
4,DB12-EPONEE_clean,31.762,31.63,170.7,169.0,34.371,34.086,6.705,0.6292,0.4928,1.6071
5,DB1-Zn2O8N2-AZO_A-irmof10_A_No341,30.653,30.764,119.7,135.0,36.062,36.305,6.022,0.62068,0.4445,1.63
6,DB1-Cu2O8N2-AZO_A-irmof14_A_No128,29.018,28.754,194.9,194.3,32.87,33.141,6.84,0.61332,0.4956,1.3458
7,DB1-Cu2O8N2-AZO_A-irmof14_A_No343,28.916,28.648,178.6,171.9,33.697,33.78,6.53,0.59573,0.4897,1.3457
8,DB1-Zn2O8N2-ADC_A-irmof10_A_No259,29.28,29.329,130.1,135.4,35.298,35.381,5.922,0.59363,0.4578,1.5617
9,DB1-Zn2O8N2-AZO_A-irmof14_A_No509,31.115,30.244,174.9,165.8,36.073,35.807,7.237,0.59265,0.4615,1.521
10,DB1-Zn2O8N2-ADC_A-irmof14_A_No193,32.12,32.307,159.1,146.4,38.212,38.181,7.698,0.59058,0.4382,1.6261
11,DB1-Cu2O8N2-irmof10_A_No8,26.955,27.001,191.6,192.5,33.725,33.674,6.899,0.58657,0.4976,1.2881
12,DB1-Zn2O8N2-AZO_A-irmof14_A_No131,30.038,30.327,158.0,162.5,35.508,35.893,7.359,0.58166,0.458,1.5228
13,DB1-Zn2O8-ADC_A-fum_A_No295,28.0,27.636,153.6,140.5,35.536,35.601,6.046,0.57297,0.4721,1.3937
14,DB12-XIGWUF_clean,30.286,30.123,170.5,167.2,31.589,31.601,6.735,0.56894,0.4784,1.5186
15,DB1-Zn2O8-irmof10_A-irmof8_A_No367,21.676,22.281,220.2,217.7,31.973,32.267,6.659,0.55848,0.5386,1.2329
16,DB1-Zn2O8-irmof10_A-irmof20_A_No356,19.975,19.675,213.7,223.0,30.17,30.465,5.808,0.55598,0.5622,1.1481
17,DB1-Zn2O8-irmof10_A-irmof8_A_No325,21.682,22.847,230.5,236.9,32.063,32.967,7.718,0.54982,0.5355,1.2185
18,DB1-Zn2O8-irmof10_A-irmof20_A_No9,23.176,23.573,222.1,206.8,33.661,33.163,7.161,0.53921,0.5276,1.2908
19,DB1-Cu2O8-irmof10_A-irmof8_A_No324,23.772,23.783,220.5,219.1,31.013,31.18,7.262,0.53423,0.5364,1.2631
20,DB1-ZIFZn-irmof10_A-irmof14_A_No356,27.863,27.643,186.1,172.9,32.281,32.17,7.096,0.52788,0.4967,1.2683
21,DB1-Cu2O8N2-irmof16_A-irmof8_A_No159,27.083,26.96,197.9,185.6,33.48,32.397,7.438,0.52415,0.4997,1.2076
22,DB1-Zn2O8N2-AZO_A-irmof14_A_No185,28.229,28.188,154.4,158.0,32.961,32.598,7.014,0.5181,0.4942,1.4033
23,DB1-Cu2O8N2-irmof10_A-irmof14_A_No310,26.587,26.294,202.9,201.7,31.962,31.743,7.75,0.51765,0.5152,1.2228
24,DB1-Zn2O8-BTC_B-DPAC_A_No26,25.568,25.59,146.2,136.2,38.458,38.173,6.916,0.51518,0.4479,1.4871
25,DB1-Zn2O8-AZO_A-irmof8_A_No357,24.847,24.852,174.0,186.4,32.834,32.617,7.162,0.51282,0.5057,1.3131
26,DB1-Zn2O8-irmof10_A-irmof20_A_No350,20.376,20.536,202.6,223.7,30.818,30.526,6.932,0.50441,0.5547,1.1917
27,DB1-Cu2O8-irmof10_A-irmof8_A_No339,23.643,24.13,186.1,201.4,30.461,31.411,7.384,0.5015,0.5395,1.2687
28,DB1-Cu2O8N2-irmof10_A-irmof14_A_No337,26.253,25.611,193.7,200.8,31.539,31.218,7.733,0.49966,0.5163,1.226
29,DB1-Cu2O8N2-irmof10_A-irmof14_A_No334,26.343,26.215,163.9,153.0,31.693,31.503,6.463,0.49709,0.508,1.3603
30,DB1-Cu2O8-irmof10_A-irmof20_A_No351,21.833,21.436,196.9,208.4,28.985,28.906,6.465,0.4959,0.5673,1.1765
31,DB1-Zn2O8-AZO_A-fum_A_No181,24.901,25.393,123.5,130.8,32.606,32.82,5.861,0.49518,0.4848,1.318
32,DB1-Cu2O8-irmof10_A-irmof20_A_No372,22.033,22.349,204.8,208.7,30.735,30.351,7.058,0.4938,0.5455,1.1576
33,DB1-Cu2O8-ADC_A-BDC_A_No848,24.767,24.523,197.9,183.4,29.782,29.831,6.702,0.49327,0.5466,1.255
