scenario,w_WC,w_sel,w_CO2,w_HoA,jaccard
WC-dominant,0.5,0.2,0.2,0.1,0.6129
Sel-focused,0.15,0.55,0.2,0.1,0.2821
CO2-focused,0.2,0.2,0.5,0.1,0.7241
HoA-focused,0.1,0.1,0.1,0.7,0.3699
Balanced,0.25,0.25,0.25,0.25,1.0
WC+Sel,0.4,0.4,0.1,0.1,0.5385
CO2+WC,0.4,0.1,0.4,0.1,0.5625
No-HoA,0.33,0.33,0.33,0.0,0.5152
HoA-penalised,0.3,0.3,0.3,0.1,0.5873
random_00,0.3247,0.3155,0.322,0.0378,0.5385
random_01,0.0142,0.2392,0.2322,0.5144,0.6129
random_02,0.0347,0.458,0.0308,0.4765,0.2658
random_03,0.4942,0.1104,0.3515,0.0439,0.5625
random_04,0.0532,0.1831,0.5237,0.24,0.8868
random_05,0.275,0.0493,0.4052,0.2705,0.4706
random_06,0.409,0.2601,0.2827,0.0481,0.6129
random_07,0.0713,0.2722,0.1544,0.5021,0.5152
random_08,0.3458,0.1161,0.225,0.3131,0.5873
random_09,0.1867,0.1748,0.4773,0.1612,0.7857
random_10,0.3436,0.3583,0.2793,0.0188,0.5385
random_11,0.2915,0.3481,0.2884,0.072,0.5873
random_12,0.3722,0.1922,0.411,0.0245,0.5873
random_13,0.0277,0.2177,0.6614,0.0933,0.6393
random_14,0.2422,0.3392,0.3081,0.1105,0.5873
random_15,0.1168,0.1483,0.1625,0.5724,0.5625
random_16,0.391,0.3053,0.1937,0.11,0.6129
random_17,0.0142,0.3056,0.1985,0.4817,0.5385
random_18,0.6082,0.0996,0.0149,0.2773,0.4706
random_19,0.408,0.1312,0.3405,0.1203,0.6129
random_20,0.6991,0.1536,0.0715,0.0758,0.5152
random_21,0.0503,0.0234,0.7344,0.1919,0.5873
random_22,0.1127,0.2728,0.0547,0.5598,0.4493
random_23,0.5491,0.1399,0.0853,0.2257,0.5625
random_24,0.0972,0.0242,0.1606,0.7181,0.3889
random_25,0.139,0.4248,0.282,0.1541,0.4085
random_26,0.4597,0.1806,0.2653,0.0945,0.6129
random_27,0.0814,0.7967,0.0521,0.0698,0.1905
random_28,0.1306,0.4072,0.1742,0.2881,0.4706
random_29,0.4282,0.3057,0.2322,0.0339,0.5152
random_30,0.5489,0.2097,0.0571,0.1843,0.5873
random_31,0.0313,0.4064,0.4315,0.1307,0.4085
random_32,0.009,0.5382,0.1593,0.2934,0.2346
random_33,0.0937,0.4454,0.4361,0.0247,0.3514
random_34,0.7012,0.087,0.1804,0.0315,0.4286
random_35,0.2939,0.0855,0.4822,0.1384,0.5873
random_36,0.3076,0.2085,0.2975,0.1865,0.8182
random_37,0.1294,0.0061,0.335,0.5296,0.4493
random_38,0.0837,0.4907,0.0242,0.4014,0.2821
random_39,0.1013,0.1859,0.6775,0.0353,0.6667
random_40,0.0681,0.4788,0.3504,0.1027,0.3158
